profile,stage,runs,mean_latency_ms,median_latency_ms,std_latency_ms,p95_latency_ms,ci95_low_latency_ms,ci95_high_latency_ms
TC-Lite,access,30,5.225989999932548,5.245649999938905,0.6497410258343048,6.30808999929577,5.002127166464925,5.45355366653918
TC-Lite,budget,30,0.0,0.0,0.0,0.0,0.0,0.0
TC-Lite,tee,30,0.0,0.0,0.0,0.0,0.0,0.0
TC-Lite,proof,30,0.0,0.0,0.0,0.0,0.0,0.0
TC-Lite,settlement,30,0.0,0.0,0.0,0.0,0.0,0.0
TC-Lite,audit,30,1.1169833332921069,1.0755500001832843,0.21011684122149998,1.521139999572187,1.047812666655518,1.1946481666341422
TC-Protected,access,30,5.56448333337903,5.5323499999940395,0.6128172932990346,6.685974999051541,5.354384250131746,5.788955666317294
TC-Protected,budget,30,3.9655233334749935,3.9974499996751547,0.5388102411395386,4.768129999097436,3.773772833302307,4.155838833847083
TC-Protected,tee,30,137.25746666666666,133.7065,17.28491389210462,170.97819999999993,131.64914666666667,143.63373333333334
TC-Protected,proof,30,0.0,0.0,0.0,0.0,0.0,0.0
TC-Protected,settlement,30,0.0,0.0,0.0,0.0,0.0,0.0
TC-Protected,audit,30,1.2002800001452367,1.2004999993368983,0.24096011180077503,1.62955500036478,1.1197925002065798,1.28480350011494
TC-Full,access,30,4.896719999797642,4.940799999050796,0.6212817538157355,5.9902100006118415,4.680762999348032,5.11497566615697
TC-Full,budget,30,2.8345733332137266,2.7464500004425645,0.3673904236804007,3.642640000488608,2.714219833323732,2.968613916590499
TC-Full,tee,30,138.03286666666665,137.37,13.57035577693686,164.09294999999997,133.3717825,142.80387083333332
TC-Full,proof,30,226.9109133331726,220.7214499991387,17.502311551361732,263.7689600000158,221.02496333342978,233.27986941661064
TC-Full,settlement,30,5.970530000018576,5.89204999897629,0.6060049216041844,7.104170000180602,5.756354166860692,6.190116916511518
TC-Full,audit,30,0.0,0.0,0.0,0.0,0.0,0.0
