variant,stage,runs,mean_gas,measurement_type
baseline_minimal,access,30,0.0,measured
baseline_minimal,budget,30,0.0,measured
baseline_minimal,proof,30,0.0,measured
baseline_minimal,settlement,30,0.0,measured
baseline_minimal,audit,30,0.0,measured
access_only,access,30,407772.0,measured
access_only,budget,30,0.0,measured
access_only,proof,30,0.0,measured
access_only,settlement,30,0.0,measured
access_only,audit,30,25560.0,measured
no_budget,access,30,407767.6,measured
no_budget,budget,30,0.0,measured
no_budget,proof,30,670135.8,measured
no_budget,settlement,30,0.0,measured
no_budget,audit,30,25556.8,measured
no_zk,access,30,407760.4,measured
no_zk,budget,30,252245.6,measured
no_zk,proof,30,0.0,measured
no_zk,settlement,30,0.0,measured
no_zk,audit,30,25553.6,measured
no_tee,access,30,376850.2,model_calibrated_from_measured_components
no_tee,budget,30,221762.6,model_calibrated_from_measured_components
no_tee,proof,30,283376.2,model_calibrated_from_measured_components
no_tee,settlement,30,488263.4,model_calibrated_from_measured_components
no_tee,audit,30,0.0,model_calibrated_from_measured_components
full_trustcircuit,access,30,376849.4,measured
full_trustcircuit,budget,30,221762.2,measured
full_trustcircuit,proof,30,283373.8,measured
full_trustcircuit,settlement,30,488259.4,measured
full_trustcircuit,audit,30,0.0,measured
