measurement_type,run,is_warmup,rows,payload_bytes,reference_aggregate_us,vbs_process_wall_us,vbs_host_total_us,enclave_call_us,decrypt_us,aggregate_us,dp_noise_us,transcript_us,attestation_generation_us,attestation_validation_host_us,attestation_validation_enclave_us,host_peak_rss_bytes,python_reference_rss_bytes,vbs_payload_throughput_mib_s,reference_payload_throughput_mib_s,vbs_slowdown_vs_python_reference,ok
measured,0,1,126,1024,5,64680,16143,8317,4,6,129,13,1920,19955,959,9478144,24293376,0.01509836889301175,195.31249999999997,12936.0,1
measured,1,0,126,1024,4,64252,16723,8500,5,9,60,20,2236,19086,944,9490432,24961024,0.015198943223557243,244.140625,16063.0,1
measured,2,0,126,1024,3,72718,15134,7921,4,6,141,13,1859,20506,1052,9465856,24973312,0.013429446629445254,325.5208333333333,24239.333333333332,1
measured,3,0,126,1024,2,66951,15319,7965,5,6,45,14,2013,19779,919,9465856,24985600,0.014586227240817913,488.28125,33475.5,1
measured,4,0,126,1024,2,68876,14631,7835,4,6,42,13,1985,18630,927,9482240,25001984,0.014178560020907137,488.28125,34438.0,1
measured,5,0,126,1024,3,70292,15236,8130,4,6,142,14,1938,20895,950,9469952,25014272,0.013892939452569284,325.5208333333333,23430.666666666668,1
measured,0,1,510,4096,5,70112,14925,8138,28,24,44,13,1949,21350,1117,9527296,25042944,0.05571442834322228,781.2499999999999,14022.4,1
measured,1,0,510,4096,4,74894,15723,8139,44,23,41,13,1869,19114,994,9502720,25071616,0.0521570486287286,976.5625,18723.5,1
measured,2,0,510,4096,4,64664,15383,8068,26,23,39,13,1911,18697,884,9506816,25178112,0.06040841890387232,976.5625,16166.0,1
measured,3,0,510,4096,4,68241,15373,8302,27,22,30,13,2129,18527,1119,9519104,25190400,0.057241980627482016,976.5625,17060.25,1
measured,4,0,510,4096,4,70075,15710,8068,24,23,34,13,1886,20412,901,9515008,25194496,0.055743845879414916,976.5625,17518.75,1
measured,5,0,510,4096,4,76031,15068,8236,27,22,47,13,1976,19966,931,9523200,25202688,0.0513770698793913,976.5625,19007.75,1
measured,0,1,2046,16384,14,77297,16522,9531,119,91,6,11,1924,19772,1225,9539584,25702400,0.20214238586232325,1116.0714285714287,5521.214285714285,1
measured,1,0,2046,16384,13,75398,16893,9331,98,88,6,11,1856,19305,926,9527296,26116096,0.20723361362370352,1201.923076923077,5799.846153846154,1
measured,2,0,2046,16384,13,67992,16587,9691,128,90,11,13,1941,19811,904,9539584,26202112,0.2298064478173903,1201.923076923077,5230.153846153846,1
measured,3,0,2046,16384,13,69328,16293,9463,140,89,6,11,1890,18931,1289,9535488,26275840,0.22537791368566812,1201.923076923077,5332.923076923077,1
measured,4,0,2046,16384,13,72926,16575,9486,123,90,6,11,1917,20107,1167,9531392,26284032,0.2142582892246935,1201.923076923077,5609.692307692308,1
measured,5,0,2046,16384,13,81502,19432,9195,109,89,7,11,1837,19451,931,9535488,26284032,0.19171308679541604,1201.923076923077,6269.384615384615,1
measured,0,1,8190,65536,50,84104,22424,14794,340,403,7,12,2008,18822,937,9887744,26755072,0.7431275563587939,1250.0,1682.08,1
measured,1,0,8190,65536,52,65926,20944,12938,297,367,7,11,1885,19616,1059,9822208,26759168,0.9480326426599521,1201.923076923077,1267.8076923076924,1
measured,2,0,8190,65536,55,67403,20506,13335,321,350,6,12,1840,19296,893,9928704,26759168,0.9272584306336512,1136.3636363636363,1225.509090909091,1
measured,3,0,8190,65536,46,63013,19840,12967,322,459,17,21,2020,18493,1007,9826304,26759168,0.9918588227826004,1358.695652173913,1369.8478260869565,1
measured,4,0,8190,65536,63,78940,21424,14360,232,357,6,11,2007,19201,981,9916416,26759168,0.7917405624524956,992.063492063492,1253.015873015873,1
measured,5,0,8190,65536,47,63484,22927,15070,248,373,7,13,2075,19342,861,9945088,26759168,0.984500031504001,1329.7872340425533,1350.723404255319,1
measured,0,1,32766,262144,236,95861,39189,31225,1159,1608,8,14,2327,19139,931,11505664,29601792,2.6079427504407424,1059.322033898305,406.1906779661017,1
measured,1,0,32766,262144,193,99564,39122,31754,867,1451,7,13,1910,18479,979,11694080,29057024,2.510947732112008,1295.3367875647668,515.8756476683938,1
measured,2,0,32766,262144,210,82712,38280,30047,1250,1471,7,14,1891,19289,873,11759616,29065216,3.0225360286294616,1190.4761904761904,393.8666666666667,1
measured,3,0,32766,262144,185,111408,58119,48377,3866,2076,15,25,2462,20178,1278,12046336,29065216,2.2440040212552064,1351.3513513513515,602.2054054054054,1
measured,4,0,32766,262144,187,96012,44882,37476,5123,1511,15,20,1934,18587,1102,11972608,29065216,2.603841186518352,1336.8983957219252,513.4331550802139,1
measured,5,0,32766,262144,215,100115,38304,29709,1467,1631,9,16,2370,18732,873,11673600,29069312,2.49712830245218,1162.7906976744187,465.6511627906977,1
measured,0,1,99998,800000,612,154615,97663,87509,13010,6115,17,24,2182,19065,1199,17694720,32522240,4.934446548685444,1246.6330933415031,252.63888888888889,1
measured,1,0,99998,800000,582,157385,90317,82395,3447,5373,22,32,2257,19066,939,17661952,32550912,4.847599536963497,1310.8925311426115,270.4209621993127,1
measured,2,0,99998,800000,641,162868,104193,96192,9081,4535,11,16,2111,18102,1183,17674240,32550912,4.684403646664784,1190.2331562012482,254.0842433697348,1
measured,3,0,99998,800000,626,149993,92573,84903,8010,4713,10,17,2206,21069,989,17567744,32550912,5.086500390851573,1218.753120007987,239.60543130990416,1
measured,4,0,99998,800000,579,200346,140435,130318,12298,4986,16,22,2256,20276,901,17690624,32550912,3.808109236645603,1317.6847204231433,346.020725388601,1
measured,5,0,99998,800000,566,149694,99464,92035,6042,4659,24,30,2067,18068,899,17686528,32550912,5.096660207656954,1347.9495638250883,264.47703180212017,1
